District Code, YearMonth, Number of Crimes
E5,201506,165
E5,201707,379
E5,201605,349
E5,201609,339
E5,201705,378
E5,201610,316
E5,201604,348
E5,201512,335
E5,201612,338
E5,201606,368
E5,201511,328
E5,201611,303
E5,201603,330
E5,201510,334
E5,201509,340
E5,201602,293
E5,201508,358
A7,201809,15
A7,201808,298
A7,201806,344
A7,201807,311
A7,201711,333
A7,201710,374
A7,201708,417
A7,201805,371
A7,201706,392
A7,201712,330
A7,201802,333
A7,201601,317
A7,201701,355
A7,201804,344
A7,201709,343
A7,201803,341
A7,201607,335
A7,201704,359
A7,201507,385
A7,201703,334
A7,201801,367
A7,201702,310
A7,201608,370
A7,201506,182
A7,201707,365
A7,201605,380
A7,201609,352
A7,201705,352
A7,201610,346
A7,201604,378
A7,201512,337
A7,201612,337
A7,201606,400
A7,201511,356
A7,201611,293
A7,201603,313
A7,201510,389
A7,201509,398
A7,201602,309
A7,201508,379
E13,201809,29
E13,201808,402
E13,201806,481
E13,201807,493
E13,201711,436
E13,201710,458
E13,201708,512
E13,201805,514
E13,201706,516
E13,201712,413
E13,201802,382
E13,201601,407
E13,201701,426
E13,201804,449
E13,201709,512
E13,201803,445
E13,201607,492
E13,201704,439
E13,201507,418
E13,201703,432
E13,201801,467
E13,201702,424
E13,201608,514
E13,201506,185
E13,201707,484
E13,201605,478
E13,201609,448
E13,201705,462
E13,201610,475
E13,201604,473
E13,201512,434
E13,201612,443
E13,201606,513
E13,201511,434
E13,201611,453
E13,201603,426
E13,201510,443
E13,201509,468
E13,201602,437
E13,201508,419
E18,201809,46
E18,201808,478
E18,201806,535
E18,201807,468
E18,201711,468
E18,201710,466
E18,201708,459
E18,201805,507
E18,201706,498
E18,201712,404
E18,201802,420
E18,201601,410
E18,201701,462
E18,201804,444
E18,201709,468
E18,201803,414
E18,201607,434
E18,201704,441
E18,201507,440
E18,201703,476
E18,201801,461
E18,201702,431
E18,201608,516
E18,201506,230
E18,201707,526
E18,201605,435
E18,201609,427
E18,201705,513
E18,201610,388
E18,201604,415
E18,201512,420
E18,201612,479
E18,201606,493
E18,201511,418
E18,201611,392
E18,201603,409
E18,201510,434
E18,201509,382
E18,201602,425
E18,201508,416
A15,201809,8
A15,201808,157
A15,201806,178
A15,201807,134
A15,201711,179
A15,201710,178
A15,201708,204
A15,201805,191
A15,201706,228
A15,201712,158
A15,201802,175
A15,201601,158
A15,201701,152
A15,201804,153
A15,201709,170
A15,201803,160
A15,201607,165
A15,201704,183
A15,201507,181
A15,201703,191
A15,201801,169
A15,201702,139
A15,201608,187
A15,201506,78
A15,201707,202
A15,201605,190
A15,201609,182
A15,201705,183
A15,201610,160
A15,201604,140
A15,201512,156
A15,201612,158
A15,201606,203
A15,201511,154
A15,201611,159
A15,201603,155
A15,201510,138
A15,201509,170
A15,201602,129
A15,201508,150
